id,word,phonetic,meaning,category,wrong_answer,error_note,tip,unit,status,mastered_modes,confused_with,correct_count,created_at,last_practiced_at,batch_id
,单词,音标,释义,unlearned,诗颖写了,错误分析,提示,,pending,,,0,,,
,he,hiː; hi,pron*.他,unlearned,him,主/宾格混淆,he是主语him是宾语,,pending,,,0,,,
,she,ʃiː; ʃi,pron*.她,unlearned,her,主/宾格混淆,she是主语her是宾语,,pending,,,0,,,
,the,ðə,art*.(用以泛指)；(解说时用),unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,such,sʌtʃ,"det*.,*pron*.这样;这样的,那样的",unlearned,something,词义混淆,such=这样/那样的,,pending,,,0,,,
,swim,swɪm,v*.游泳;游动,unlearned,swiming,加了ing,原形不加ing; swimming才是ing,,pending,,,0,,,
,cousin,ˈkʌzn,n*. 同辈表亲,unlearned,cosin,漏字母u,cousin=cou+sin,,pending,,,0,,,
,restaurant,ˈrestrɒnt,n*.餐馆；餐厅,unlearned,restrant,漏字母au,res-tau-rant,,pending,,,0,,,
,factory,ˈfæktri; ˈfæktəri,n*.工厂,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,of,əv; ɒv,prep*.属于…的;关于,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,so,səʊ,adv*.如此，极;那么；这样 *conj*.所以,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,wednesday,ˈwenzdeɪ,n*.星期三,unlearned,wesneday,漏字母d,Wed-nes-day拆三音节,,pending,,,0,,,
,colourful,ˈkʌləf(ə)l,adj*.丰富多彩的;五彩缤纷的,unlearned,colorful,英/美拼写,教材用英式colourful,,pending,,,0,,,
,raise,reɪz,v*.提升，举起;增加;筹募;抚养,unlearned,rise,近词混淆,"raise及物（举起）,rise不及物（升起）",,pending,,,0,,,
,country,ˈkʌntri,n*. 国家,unlearned,contry,漏字母u,coun-try,,pending,,,0,,,
,juice,dʒuːs,n*.果汁;菜汁,unlearned,jugec,拼写逆序,ju-ice（果汁有ice）,,pending,,,0,,,
,schoolbag,ˈskuːlbæɡ,n*.书包,unlearned,sholdbag,拼写错,school+bag,,pending,,,0,,,
,colour,ˈkʌlə(r),n*.颜色 *v*.为…着色,unlearned,color,英/美拼写,"英式colour, 美式color",,pending,,,0,,,
,web,web,n*.万维网,unlearned,weiber,完全写错,"web=网, 记住we+b",,pending,,,0,,,
,want,wɒnt,v*.想要;需要,unlearned,wand,多字母d,wan-t,,pending,,,0,,,
,writer,ˈraɪtə(r),n*.作家,unlearned,write,忘了+er,write+er=writer,,pending,,,0,,,
,exercise,ˈeksəsaɪz,n*.锻炼；练习 *v*.锻炼,unlearned,exesrice,拼写混乱,ex-er-cise拆三段记,,pending,,,0,,,
,clothes,kləʊðz,n*.衣服；服装,unlearned,close,漏th,clothes有th（衣服）,,pending,,,0,,,
,ski,skiː,v*.滑雪,unlearned,sky,近音混淆,"ski滑雪, sky天空",,pending,,,0,,,
,biology,baɪˈɒlədʒi,n*.生物学,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,geography,dʒiˈɒɡrəfi,n*.地理,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,over,ˈəʊvə(r),adv*.结束;穿过;又 *prep*.遍及;在…上面;穿越,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,subject,ˈsʌbdʒɪkt; ˈsʌbdʒekt,n*.科目,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,thursday,ˈθɜːzdeɪ,n*.星期四,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,by,baɪ,prep*.(表示方式)；在…旁边;在…之前,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,seldom,ˈseldəm,adv*.不常，很少,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,tidy,ˈtaɪdi,adj*.整洁的 *v*.使整洁,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,club,klʌb,n*.俱乐部；社团,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,tuesday,ˈtjuːzdeɪ,n*.星期二,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,question,ˈkwestʃən,n*. 问题,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,during,ˈdjʊərɪŋ,prep*.在…期间,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,badminton,ˈbædmɪntən,n*. 羽毛球运动,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,tai chi,ˌtʌɪ ˈtʃiː,n*.太极,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,survey,ˈsɜːveɪ,n*. 民意调查,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,shorts,ʃɔːts,n*.短裤,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,race,reɪs,n*.赛跑;速度竞赛,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,side,saɪd,n*.一边;一侧,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,even,ˈiːv(ə)n,adv*.甚至，连；更加,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,sometimes,ˈsʌmtaɪmz,adv*.有时,unlearned,sometime,漏末尾s,some-times,,pending,,,0,,,
,text,tekst,n*.文章;文本，正文;课本,unlearned,test,近词混淆,"text有x（课本）, test有t（考试）",,pending,,,0,,,
,grandparent,ˈɡrænpeərənt,n*.祖父;祖母;外祖父;外祖母,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,chore,tʃɔː(r),n*. 日常事务;例行工作,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,weekend,ˌwiːkˈend,n*.周末,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,mrs,ˈmɪsɪz,abbr*.夫人,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,mr,ˈmɪstə(r),abbr*.先生,unlearned,mister,缩写格式,缩写Mr.不写全称,,pending,,,0,,,
,climate,ˈklaɪmət,n*.气候,unlearned,cilmate,字母顺序,cli-mate,,pending,,,0,,,
,may,/meɪ/,modalv.可以;也许,unlearned,may,需大写,月份要大写May,,pending,,,0,,,
,sale,/seɪl/,n.特价销售;出售,unlearned,sell,近音混淆（名/动）,"sale是名词, sell是动词",,pending,,,0,,,
,plan,/plæn/,"v.计划,谋划;打算 n.计划;",unlearned,plane,多加了e,"plan=计划, plane=飞机",,pending,,,0,,,
,piece,/piːs/,n.片;块,unlearned,peace,近音混淆,"piece=片/块, peace=和平",,pending,,,0,,,
,quick,/kwɪk/,adj.快的;迅速的,unlearned,quite,近形混淆,"quick=快的, quite=相当",,pending,,,0,,,
,litter,/'lɪtə(r)/,v.乱扔 n.垃圾,unlearned,letter,i/e混淆,"litter=垃圾, letter=信",,pending,,,0,,,
,throw,/θrəʊ/,v.投;扔,unlearned,through,首字母,"throw=扔, through=穿过",,pending,,,0,,,
,safe,/seɪf/,adj.处境,unlearned,self,fa→lf,"safe=安全的, self=自己",,pending,,,0,,,
,shake,/ʃeɪk/,v.摇动;抖动,unlearned,shock,ea→o,"shake=摇动, shock=震惊",,pending,,,0,,,
,arrive,/ə'raɪv/,v.到达,unlearned,arriv,漏了e,arrive结尾有e,,pending,,,0,,,
,alone,/ə'ləʊn/,"adv.,adj.独自",unlearned,along,ne→ng,"alone=独自, along=沿着",,pending,,,0,,,
,fair,/feə(r)/;/fer/,adj.公正的;公道的,unlearned,fear,元音互换,"fair=公平, fear=害怕",,pending,,,0,,,
,law,/lɔː/,n.法律;法规,unlearned,low,a→o,"law=法律, low=低",,pending,,,0,,,
,drama,/'drɑːmə/,n.戏;剧,unlearned,dram,漏了a,drama结尾有a,,pending,,,0,,,
,kick,/kɪk/,v.踢;射门得分 n.踢,unlearned,cick,k→c,kick以k开头,,pending,,,0,,,
,divide,/dɪ'vaɪd/,"v.(使)分开,分割, 分成",unlearned,deride,完全混淆,"divide=除/分, deride=嘲笑",,pending,,,0,,,
,means,/miːnz/,n.方式;方法;途径,unlearned,mines,近音混淆,"mean+s, 不是mine+s",,pending,,,0,,,
,loss,/lɒs/;/lɔːs/,n.丧失;损失,unlearned,lose,名/动混淆,"loss是名词, lose是动词",,pending,,,0,,,
,salt,/sɔːlt;sɒlt/,"n.盐,食盐",unlearned,solt,a→o,salt拼写为s-a-l-t,,pending,,,0,,,
,cabbage,/'kæbɪdʒ/,n.甘蓝;卷心菜,unlearned,cabage,漏了一个b,cabbage双b,,pending,,,0,,,
,same,/seɪm/,adj.相同的,unlearned,silm,完全错误,same=s-a-m-e,,pending,,,0,,,
,beginning,/bɪ'ɡɪnɪŋ/,n.开头;开端,unlearned,begining,漏了一个n,beginning双n,,pending,,,0,,,
,just,/dʒʌst/,adv.仅仅;只是;刚好;刚才,unlearned,juge,完全错误,just=j-u-s-t,,pending,,,0,,,
,special,/'speʃl/,"adj.特殊的,特别的; 特设的 n.特别活动；特价",unlearned,speaci,完全错误,special=s-p-e-c-i-a-l,,pending,,,0,,,
,collect,/kə'lekt/,v.收集;采集,unlearned,cottet,完全错误,collect=c-o-l-l-e-c-t,,pending,,,0,,,
,knock,/nɒk/;/nɑːk/,v.敲;击 n.敲击声; 敲门,unlearned,nock,漏了一个k,knock以kn开头,,pending,,,0,,,
,door,/dɔː(r)/,n.门,unlearned,doll,完全错误,door=d-o-o-r,,pending,,,0,,,
,plastic,/'plæstɪk/,adj.塑料的 n.塑料,unlearned,plastick,多了k,plastic以c结尾非ck,,pending,,,0,,,
,habit,/'hæbɪt/,n.习惯,unlearned,habbit,多了一个b,habit单b,,pending,,,0,,,
,row,/rəʊ/,v.划,unlearned,roaw,多了a,row=r-o-w,,pending,,,0,,,
,unforgettable,/ˌʌnfə'getəbl/;/ˌʌnfər'getəbl/,adj.令人难忘的,unlearned,unforgetable,漏了一个t,unforgettable双t,,pending,,,0,,,
,famous,/'feɪməs/,adj.著名的;出名的,unlearned,farmous,元音错,famous=f-a-m-o-u-s,,pending,,,0,,,
,title,/'taɪtl/,"n.标题,题目",unlearned,tittle,多了t,title=t-i-t-l-e单t,,pending,,,0,,,
,mine,/maɪn/,pron.我的 n.矿;矿井,unlearned,main,近音混淆,"mine=我的, main=主要的",,pending,,,0,,,
,website,/'websaɪt/,n.网站,unlearned,webest,完全错误,website=web+site,,pending,,,0,,,
,office,/'ɒfɪs/;/'ɑːfɪs/,n.办公室,unlearned,officer,加了r,"office不加r, officer是警官",,pending,,,0,,,
,postoffice,/ˈpəʊstɒfɪs/,n.邮局,unlearned,postofficer,加了r,postoffice不加r,,pending,,,0,,,
,elder,/'eldə(r)/,n.长者;长辈,unlearned,older,混淆,"elder=长辈的, older=更老的",,pending,,,0,,,
,advice,/əd'vaɪs/,n.劝告;建议,unlearned,advices,加了s,advice不可数不加s,,pending,,,0,,,
,person,/'pɜːsn/;/'pɜːrsn/,n.人;个人,unlearned,personal,加了al,"person是名词, personal是形容词",,pending,,,0,,,
,business,/'bɪznəs/,n.商业;生意,unlearned,bisines,拼写混乱,busi-ness,,pending,,,0,,,
,court,/kɔːt/;/kɔːrt/,n.球场;法院,unlearned,cort,漏了u,court=c-o-u-r-t,,pending,,,0,,,
,swimmingpool,/ˈswɪmɪŋpuːl/,n.游泳池;游泳馆,unlearned,swimming,只写了前半,swimming+pool,,pending,,,0,,,
,practice,/'præktɪs/,v.训练;练习,unlearned,practies,ce→s,practice以ce结尾,,pending,,,0,,,
,hole,/həʊl/,n.洞;孔;坑,unlearned,houl,ou代替o+e,hole=h-o-l-e,,pending,,,0,,,
,channel,/'tʃænl/,n.水道;航道,unlearned,chanl,漏了一个n,channel双n,,pending,,,0,,,
,tunnel,/ˈtʌnl/,n.地下通道;隧道,unlearned,tunle,字母顺序,tunnel双n,,pending,,,0,,,
,spend,/spend/,"v.度过;用,花",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,strawberry,/'strɔ:bəri/;/'strɔːberi/,n.草莓,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,trousers,/'traʊzəz/;/'traʊzərz/,n.(pl.)裤子,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,example,/ɪg'zɑːmpl/;/ɪg'zæmpl/,n.例子; 实例,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,sandwich,/'sænwɪtʃ;'sænwɪdʒ/,n.三明治,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,scissors,/'sɪzəz/;/'sɪzərz/,n.(pl.)剪刀,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,cycle,/'saɪkl/,n.循环,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,off,/ɒf/;/ɔːf/,adv.(用以表示除去了某物);休假；休息,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,reuse,/ˌriː'juːz/,v.再次使用;重复使用,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,valuable,/'væljuəbl/,adj.宝贵的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,coastline,/ˈkəʊstlaɪn/,n.海岸线;沿海地带,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,machine,/mə'ʃiːn/,"n.机器,机械装置;计算机，电脑",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,rubbish,/'rʌbɪʃ/,n.垃圾;废弃物,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,across,/ə'krɒs/;/ə'krɔːs/,"adv.,prep.从一边到另一边；横过",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,corner,/'kɔːnə(r)/;/'kɔːrnər/,n.街角;拐角,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,madam,/'mædəm/,n.女士;夫人,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,station,/'steɪʃn/,"n.公共汽车站,长途汽车站; 火车站",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,crossing,/'krɒsɪŋ/;/'krɔːsɪŋ/,n.安全通行处; 人行横道,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,island,/'aɪlənd/,n.岛,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,village,/'vɪlɪdʒ/,n.村庄,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,community,/kə'mjuːnəti/,n.社区,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,service,/'sɜːvɪs/;/'sɜːrvɪs/,n.服务,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,italian,/ɪ'tæliən/,adj.意大利,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,police,/pə'liːs/,n.警方,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,exciting,/ɪk'saɪtɪŋ/,adj.令人兴奋的;令人激动的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,turning,/'tɜːnɪŋ/;/'tɜːrnɪŋ/,n.岔路口,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,straight,/streɪt/,adv.笔直地,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,medical,/'medɪkl/,adj.医疗的;医学的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,volunteer,/ˌvɒlən'tɪə(r)/;/ˌvɑːlən'tɪr/,n.志愿者 v.自愿做,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,transportation,/ˌtrænspɔː'teɪʃn/;/ˌtrænspər'teɪʃn/,n.公共交通运输系统,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,nearby,/ˌnɪə'baɪ/;/ˌnɪr'baɪ/,adv.在附近adj.附近的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,item,/'aɪtəm/,n.项目;物件,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,peephole,/'piːphəul/,n.(墙或门上等的)窥视孔,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,stranger,/'streɪndʒə(r)/,n.陌生人,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,delivery,/dɪ'lɪvəri/,n.递送;传送;交付,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,environment,/ɪn'vaɪrənmənt/,n.自然环境; 生态环境,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,since,/sɪns/,conj.因为;既然,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,french,/frentʃ/,n.法语;法国人 adj.法国的；法国人的；法语的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,attention,/ə'tenʃn/,n.注意;专心,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,subway,/'sʌbweɪ/,n.地铁,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,dollar,/'dɒlə(r)/;/'dɑːlər/,n.元,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,helmet,/'helmɪt/,n.头盔,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,manner,/'mænə(r)/,n.礼仪;礼貌,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,seat,/siːt/,n.座位,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,engineer,/ˌendʒɪ'nɪə(r)/;/ˌendʒɪ'nɪr/,n.工程师；设计师,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,discuss,/dɪˈskʌs/,v.讨论;谈论,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,soccer,/'sɒkə(r)/;/'sɑːkər/,"n.足球,足球运动",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,project,/'prɒdʒekt/;/'prɑːdʒekt/,n.项目; 方案；专题研究,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,british,/'brɪtɪʃ/,adj.英国的;英国人的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,support,/sə'pɔːt/;/sə'pɔːrt/,"v.,n.支持",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,chalk,/tʃɔːk/,n.粉笔,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,host,/həʊst/,n.主人;东道主,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,tabletennis,/ˈteɪbltenɪs/,n.乒乓球运动,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,voluntary,/'vɒləntri/;/'vɑːlənteri/,adj.无偿的，义务性的；自愿的，志愿的，主动的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,experience,/ɪk'spɪəriəns/;/ɪk'spɪriəns/,n.经历;经验;体验 v.经历;体验,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,guard,/gɑːd/;/gɑːrd/,"n.警卫,看守",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,accident,/'æksɪdənt/,n.(交通)事故;意外,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,behavior,/bɪ'heɪvjə(r)/,n.行为;举止;态度,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,cause,/kɔːz/,n.原因;起因 v.造成;引起; 导致,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,effect,/ɪ'fekt/,n.结果;影响,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,polite,/pə'laɪt/,adj.有礼貌的,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,board,/bɔːd/;/bɔːrd/,n.板;木板,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,traffic,/'træfɪk/,n.交通,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,june,dʒuːn,n*.六月,unlearned,june,需大写,月份要大写June,,pending,,,0,,,
,forest,ˈfɒrɪst,n*.森林； 林区,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,plenty,ˈplenti,pron*.大量；充足,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,few,fjuː,"det*.,*adj*.有些，几个;很少 *pron*.一些",unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,butterfly,ˈbʌtəflaɪ,n*.蝴蝶,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
,vegetable,ˈvedʒtəb(ə)l,n*.蔬菜,unlearned,vegetables,多了s,vegetable单数不加s,,pending,,,0,,,
,dragon,ˈdræɡən,n*.龙,unlearned,drango,末尾o,drag-on,,pending,,,0,,,
,august,ˈɔːɡəst,n*.八月,unlearned,august,需大写,月份要大写August,,pending,,,0,,,
,money,ˈmʌni,n*.钱币；钱;财产,unlearned,mony,漏字母e,mon-ey,,pending,,,0,,,
,celebrate,ˈselɪbreɪt,v*.庆祝；庆贺,unlearned,(未填),未填写,未填写，需重点学习,,pending,,,0,,,
